"","x","y"
"1",-122.2087353,47.6814875
"2",-90.0619439,29.9477228
"3",-117.94642143,34.11088041
"4",-75.69551266,45.41320037
"5",-94.58233339,39.10913699
"6",-86.08485,42.8078
"7",-84.51600176,39.09584832
"8",-82.8793446,40.0192307
"9",-86.665397,33.3996641
"10",-79.6195556,37.1826516
"11",-79.9310512,32.7764749
"12",-79.26108,37.33359
"13",-90.0715323,29.9510658
"14",-81.7404134,41.4789363
"15",-96.3048882,32.7376831
"16",-94.9094332,39.2985631
"17",-92.7324165,47.0718839
"18",-95.9304039,36.0190424
"19",-93.9277071,36.9289502
"20",-77.3860976,38.9695545
"21",-75.2493444,40.7167647
"22",-86.06388424,39.90649646
"23",-81.5373261,33.9101425
"24",-76.5115326,37.2949719
"25",-78.8783689,42.8864468
"26",-71.396725,42.0834313
"27",-78.8866943,33.6890603
"28",-73.7629097,41.0339862
"29",-118.69676217,34.16177789
"30",-105.01593,39.614845
"31",-73.97910186,40.75873044
"32",-74.173645,43.2260399
"33",-74.0064,40.7142
"34",-74.1723667,40.735657
"35",-110.8656379,32.2213411
"36",-82.4232483,29.6581707
"37",-69,45.5
"38",-73.97419,40.77112
"39",-104.8837161,39.5655162
"40",-117.8536667,34.0591667
"41",-79.57719326,43.68965984
"42",-117.8536667,34.0591667
"43",-117.8536667,34.0591667
"44",-123.04,44.93
"45",-118.27722,33.9275
"46",-79.3861064,43.7671204
"47",-79.3861064,43.7671204
"48",-85.7100393,43.1608578
"49",-81.2362107,33.9815369
"50",-71.0588801,42.3600825
"51",-79.3861064,43.7671204
"52",-79.3861064,43.7671204
"53",-80.85567,35.21444
"54",-77.6293499,37.6576827
"55",-74.0776417,40.7281575
"56",-71.6693602,42.2863503
"57",-95.6890185,39.0558235
"58",-104.8560902,39.3722121
"59",-81.7294702,41.3886412
"60",-75.6624122,41.408969
"61",-80.760893,35.2032935
"62",-84.3879824,33.7489954
"63",-77.4360481,37.5407246
"64",-77.4357739,37.6115093
"65",-76.5266174,37.4098631
"66",-97.109587,32.596251
"67",-84.5555347,42.732535
"68",-83.0457538,42.331427
"69",-78.78716469,42.77382583
"70",-81.84142053,41.26870619
"71",-84.36594843,33.77290597
"72",-84.39373532,33.81368215
"73",-84.5603187,39.3454673
"74",-78.9204563,33.7059577
"75",-73.78628,45.57547
"76",-105.1291603,40.1423641
"77",-75.1448,39.998
"78",-80.85277778,35.22583333
"79",-84.2685,30.4517
"80",-122.48225558,47.23475769
"81",-75.19031357,40.01452775
"82",-98.25222,29.37454
"83",-74.045271,41.133214
"84",-76.8610462,39.2037144
"85",-79.9958864,40.4406248
"86",-81.48111,41.462
"87",-97.4394777,35.2225668
"88",-82.0906448,26.9761707
"89",-80.8774289,34.1300867
"90",-95.6043584,29.75339
"91",-77.4799837,37.7590318
"92",-74.0059413,40.7127837
"93",-74.0036,40.7358
"94",-72.589811,42.1014831
"95",-122.44,45.51
"96",-90.2953,38.5933
"97",-81.63771652,30.3240516
"98",-98.2852104,29.6942478
"99",-79.59310052,43.78571184
"100",-81.378885,41.660607
"101",-106.5788147,35.1319166
"102",-80.51318747,41.23300755
"103",-86.78388889,36.165
"104",-83.3658316,40.2260511
"105",-103.4548375,43.8764805
"106",-97.741482,30.265796
"107",-87.9799096,42.3939265
"108",-84.3879824,33.7489954
"109",-82.7772156,39.849193
"110",-85.8649408,37.7030646
"111",-74.0064,40.7142
"112",-85.667207,42.96372
"113",-90.197573,29.9626008
"114",-81.649391,31.83529
"115",-86.902952,40.38743
"116",-104.8224067,38.8110203
"117",-87.6297982,41.8781136
"118",-79.5782622,43.6120206
"119",-93.3871758,45.1977428
"120",-88.1834277,43.4252776
"121",-76.1834146,39.524113
"122",-86.2999689,32.3668052
"123",-92.075662,30.171227
"124",-90.0606637,35.1543632
"125",-85.7584557,38.2526647
"126",-122.77,45.43
"127",-111.789073,33.2802435
"128",-85.5708718,42.9120453
"129",-74.44629386,41.05700965
"130",-78.64,35.79
"131",-73.996097,40.719729
"132",-100.34277499,25.69544424
"133",-73.8667,40.85
"134",-122.6045391,37.9699061
"135",-85.7739706,42.8798228
"136",-87.7539448,41.8455877
"137",-122.33,47.61
"138",-96.992038,32.9704535
"139",-85.6486243,30.1596644
"140",-94.2713613,39.0248704
"141",-87.681169,34.744905
"142",-74.0329499,40.6212119
"143",-95.7363723,39.4652724
"144",-76.662695,39.7756713
"145",-77.0763669,39.0256651
"146",-91.33325425,40.63651651
"147",-84.5817404,34.1084306
"148",-77.588,38.8035
"149",-80.0505398,40.4313474
"150",-87.8727427,42.24103963
"151",-96.8919757,32.6579484
"152",-73.97276116,40.78564902
"153",-74.0111408,40.7072575
"154",-100,31
"155",-82.8425,42.6628
"156",-77.4615,37.5383
"157",-87.9372908,42.0664167
"158",-75.135342,39.963433
"159",-122.0574,37.4192
"160",-75.22725975,40.08069333
"161",-88.1406,41.5225
"162",-81.58105456,28.41836127
"163",-78.1936319,43.2464477
"164",-95.3832,29.7629
"165",-79.6441198,43.5890452
"166",-74.38317326,40.42324738
"167",-81.8723084,26.640628
"168",-112.85488844,35.32272818
"169",-96.91888717,32.63063063
"170",-81.57966543,28.40440678
"171",-82.1986,34.6932
"172",-123.09,44.05
"173",-101.8977271,33.5691904
"174",-93.0592075,34.4689728
"175",-82.9987942,39.9611755
"176",-97.7430608,30.267153
"177",-95.45028,41.5161017
"178",-111.926,33.4931
"179",-84.918101,30.778786
"180",-86.77715,36.17588
"181",-84.41815138,33.72926522
"182",-121.65517596,36.67635747
"183",-80.336311,25.7893913
"184",-74.0064,40.7142
"185",-79.35866833,43.82211186
"186",-75.1684112,40.08288412
"187",-85.5162,43.09
"188",-86.78388889,36.165
"189",-80.20186,25.8248399
"190",-84.55660863,39.10537548
"191",-92.2895948,34.7464809
"192",-121.1294872,44.6334544
"193",-81.9495331,26.5628537
"194",-116.39260833,33.70221667
"195",-77.0368707,38.9071923
"196",-87.9703461,42.0039178
"197",-88.3428314,41.8722527
"198",-81.706484,30.1660736
"199",-73.9204158,41.2900939
"200",-95.9979883,41.2523634
"201",-87.9098173,43.0429208
"202",-74.9513694,40.3644612
"203",-97.5164276,35.4675602
"204",-84.788304,33.3821852
"205",-95.8812303,36.06005
"206",-74.1637553,40.8584328
"207",-94.6825908,38.8560534
"208",-111.90931,33.48567
"209",-120.853,35.379
"210",-82.45604844,27.94184525
"211",-74.44629386,41.05700965
"212",-103.66566,30.3561
"213",-87.8447938,42.3636331
"214",-78.872638,42.869917
"215",-78.328611,35.625556
"216",-80.24648743,40.49546389
"217",-79.392714,43.648042
"218",-75.1448,39.998
"219",-80.6067392,40.4967329
"220",-85.1393513,41.079273
"221",-81.46805551,28.47223088
"222",-77.3733139,37.6087561
"223",-122.67,45.63
"224",-90.322614,38.789217
"225",-118.25,34.1709
"226",-75.0849058,38.3365032
"227",-87.9889556,41.931696
"228",-90.073082,29.952141
"229",-111.8910474,40.7607793
"230",-74.44629386,41.05700965
"231",-85.75921,38.246591
"232",-71.0078215,42.0189894
"233",-118.60460488,34.18595063
"234",-81.15463,28.51169
"235",-75.1448,39.998
"236",-105.1399892,39.7630541
"237",-93.2062,44.744
"238",-73.92791,40.72917
"239",-74.02027778,40.80861111
"240",-111.849444,40.7274161
"241",-86.75131015,36.17798887
"242",-80.7357508,32.18201171
"243",-71.809,42.28573
"244",-122.68,45.51
"245",-118.243,34.0522
"246",-81.649424,31.835294
"247",-77.4660909,38.8778053
"248",-82.5564559,35.5927461
"249",-88.5900826,47.1095478
"250",-92.0198427,30.2240897
"251",-82.5189286,28.4552332
"252",-71.0780545,42.7791007
"253",-84.0529886,39.0542311
"254",-97.5164276,35.4675602
"255",-112.1859866,33.5386523
"256",-77.3063733,38.8462236
"257",-87.6297982,41.8781136
"258",-73.9441579,40.6781784
"259",-104.9719243,39.8680412
"260",-89.5679945,34.3613317
"261",-83.0235,39.9653
"262",-110.92638889,32.22166667
"263",-81.4803418,28.5526295
"264",-77.44104,43.10644
"265",-83.21739,42.55096
"266",-123.138433,49.167106
"267",-97.502495,35.512737
"268",-118.38188282,34.01970419
"269",-89.79952,35.91722
"270",-87.5057292,33.2058899
"271",-83.0621316,40.0193344
"272",-121.83748832,47.54312584
"273",-89.5814685,36.8608858
"274",-73.9525681,40.807991
"275",-81.376993,41.042478
"276",-100.27732909,25.67864895
"277",-79.51867761,43.83579386
"278",-118.346,33.9575
"279",-110.9584431,32.3979453
"280",-118.301206,33.890938
"281",-70.7625532,43.0717552
"282",-92.0031955,34.2284312
"283",-76.2621549,42.1034075
"284",-77.5109873,38.299819
"285",-122.3732,37.7353
"286",-71.5225646,42.2286954
"287",-108.5006904,45.7832856
"288",-102.3742895,31.8451981
"289",-111.8412502,33.3061605
"290",-82.6794,27.7706
"291",-80.7209149,40.0639616
"292",-77.02641639,38.9012116
"293",-80.0830284,26.93594146
"294",-117.7741613,33.5313485
"295",-90.4811,38.7839
"296",-90.41943738,38.51767087
"297",-122.682,45.52
"298",-96.7969879,32.7766642
"299",-90.6987565,38.7154395
"300",-75.6521237,39.6785149
"301",-77.1067698,38.8799697
"302",-75.6342521,40.0784461
"303",-122.33055556,47.60277778
"304",-104.97954299,39.76612956
"305",-97.5998486,33.2297815
"306",-88.2433829,40.1164204
"307",-84.2775138,39.8586317
"308",-116.2146068,43.6187102
"309",-97.6494755,35.4223664
"310",-95.4676503,29.7232468
"311",-96.6452337,32.860375
"312",-71.2356113,42.3764852
"313",-75.4018501,40.1498283
"314",-79.7625625,34.1954331
"315",-75.2187346,39.9915379
"316",-95.6440414,29.7384478
"317",-88.3258582,42.0353454
"318",-71.4161725,42.3834278
"319",-94.2020084,46.3526733
"320",-81.25,42.9833
"321",-111.8412502,33.3061605
"322",-73.8591,40.7685
"323",-73.51761831,41.09993079
"324",-115.136,36.175
"325",-80.3127158,25.6874555
"326",-87.5799637,41.747921
"327",-84.56297,39.21886
"328",-96.5388789,33.0151201
"329",-78.7583257,41.1210115
"330",-90,33
"331",-118.3267449,34.08493
"332",-100.26165967,25.69637426
"333",-73.90066667,40.64366667
"334",-90.4811,38.7839
"335",-104.98064539,39.76475139
"336",-76.86384302,38.90784636
"337",-91.36970121,41.28169972
"338",-73.90468271,40.69571203
"339",-82.445154,38.4192496
"340",-79.4528087,43.7251083
"341",-94.513281,37.0842271
"342",-101.8551665,33.5778631
"343",-108.5941584,45.7865032
"344",-79.7919754,36.0726354
"345",-112.0740373,33.4483771
"346",-82.5216049,27.9640468
"347",-83.2113192,42.5467012
"348",-87.5485738,41.6677896
"349",-72.6453705,41.5950989
"350",-111.9880199,40.7434064
"351",-93.2650108,44.977753
"352",-84.0832646,37.1289771
"353",-89.0939952,42.2711311
"354",-85.19315275,41.07187565
"355",-75.0371469,39.4315385
"356",-68.34139731,48.52851026
"357",-75.0343,39.8954
"358",-80.1071379,40.6849626
"359",-70.2727,43.6315
"360",-94.5846746,39.3626518
"361",-105.08,39.71
"362",-103.35140957,34.18003911
"363",-73.9229,40.809
"364",-71.3565439,41.9695516
"365",-76.5927362,39.2967385
"366",-74.4120953,40.5187154
"367",-74.0059413,40.7127837
"368",-81.3792365,28.5383355
"369",-93.3338547,44.8721412
"370",-81.95623,26.5639
"371",-119.73856148,36.80988662
"372",-74.439,39.365
"373",-86.6355026,33.6057473
"374",-85.20258,42.30285
"375",-121.44194444,49.38583333
"376",-84.77,33.7
"377",-96.8,32.7833
"378",-96.98338,32.76695
"379",-93.7302337,44.3894097
"380",-85.667207,42.96372
"381",-87.99859813,41.89563913
"382",-73.99458,40.723
"383",-73.99458,40.723
"384",-122.79654176,45.40633384
"385",-71.45819777,43.68406662
"386",-84.9877094,32.4609764
"387",-76.06424717,42.18275833
"388",-76.03073942,36.74468561
"389",-75.1450804,39.9261881
"390",-80.01405151,40.44579619
"391",-111.7573521,32.8795022
"392",-98.4950234,33.8708934
"393",-117.6719953,33.6000232
"394",-73.064036,41.2306979
"395",-104.7871004,39.7542465
"396",-84.44421619,42.24528638
"397",-86.80249,33.5206608
"398",-112.01031,33.4660445
"399",-95.712891,37.09024
"400",-111.8314724,33.4151843
"401",-85.2385104,35.1317469
"402",-75.04497349,39.46558021
"403",-72.81559669,41.45155233
"404",-76.4171585,43.3228462
"405",-84.2940899,34.0753762
"406",-79.9958864,40.4406248
"407",-84.0193789,39.8208925
"408",-95.992775,36.1539816
"409",-122.026,37.372
"410",-93.6229402,41.5989873
"411",-87.6923904,41.9101295
"412",-73.1664454,41.1893588
"413",-86.25266,39.90121
"414",-74.1718766,40.6592105
"415",-74.0064,40.7142
"416",-79.3831843,43.653226
"417",-85.661996,38.201322
"418",-74.0109418,40.7095523
"419",-88.82468,35.6708799
"420",-97.2262118,37.7091349
"421",-95.4240825,29.853335
"422",-80.9450759,35.0073697
"423",-93.5097908,44.9685869
"424",-86.4945408,33.5917955
"425",-90.4264292,38.7520179
"426",-84.1375,34.2083
"427",-88.0736672,44.506448
"428",-73.39728934,41.62374255
"429",-83.38602,33.9497799
"430",-92.0790929,30.2095771
"431",-123.26,44.57
"432",-72.63285689,41.76110616
"433",-77.5,41
"434",-90.05152,29.88583
"435",-93.56833333,36.36833333
"436",-105.0002242,39.7541032
"437",-81.3771514,28.5430061
"438",-96.7895574,32.8695051
"439",-73.9967072,40.7059675
"440",-87.9064736,43.0389025
"441",-85.7584557,38.2526647
"442",-74.6049061,40.5939636
"443",-106.6055534,35.0853336
"444",-117.156,32.7153
"445",-79.3831843,43.653226
"446",-78.88287,35.1152499
"447",-82.640004,27.740782
"448",-80.1373174,26.1224386
"449",-74.00166667,40.73361111
"450",-74.3343192,40.5480869
"451",-88.3053525,41.8875281
"452",-83.0457538,42.331427
"453",-87.9205306,41.906863
"454",-82.0105148,33.4734978
"455",-83.5679277,41.7212867
"456",-73.0692732,40.9464875
"457",-83.830509,31.530004
"458",-95.5038,30.1774
"459",-90.0619439,29.9477228
"460",-93.46,44.86
"461",-117.63611111,33.74611111
"462",-95.8501876,41.2297787
"463",-122.3136399,47.8316528
"464",-73.90468271,40.69571203
"465",-86.78388889,36.165
"466",-80.2241,25.7877
"467",-81.78478128,32.4328615
"468",-96.7969879,32.7766642
"469",-71.2598997,42.3971065
"470",-84.2940899,34.0753762
"471",-95.3698028,29.7604267
"472",-71.0342126,42.5156525
"473",-83.9901679,34.0650164
"474",-90.2642791,38.6377169
"475",-85.7076355,34.1583956
"476",-77.00888889,38.88972222
"477",-80.14181972,25.79526908
"478",-111.6946475,40.2968979
"479",-86.6711817,36.1410253
"480",-77.032,38.9057
"481",-78.4574996,35.9232073
"482",-86.2999689,32.3668052
"483",-82.7293193,28.1940587
"484",-88.9736901,40.3133697
"485",-80.84542546,35.22582041
"486",-74.4518188,40.4862157
"487",-90.5151342,41.5067003
"488",-84.4630511,38.042859
"489",-87.6297982,41.8781136
"490",-96.70592,33.00947
"491",-79.964118,40.46722516
"492",-84.4957757,39.091449
"493",-122.418,37.775
"494",-80.5900519,28.1761233
"495",-73.25319155,40.80762319
"496",-75.29375,40.16283
"497",-95.3832,29.7629
"498",-110.98840574,29.11035399
"499",-84.3436881,34.0567006
"500",-79.6598833,43.6030375
"501",-117.87,33.75
"502",-105.0265195,39.7380371
"503",-76.5468383,39.290101
"504",-74.6985891,40.2482028
"505",-81.2056714,28.5536518
"506",-80.9955471,35.4434991
"507",-94.87985899,39.44478502
"508",-80.2945017,25.7412344
"509",-88.1834277,43.4252776
"510",-84.4759328,33.8110382
"511",-85.5804185,42.2855143
"512",-80.1917902,25.7616798
"513",-83.01145,39.95763
"514",-86.2196292,43.065541
"515",-78.9656797,35.0689089
"516",-94.9339,29.4
"517",-97.236,32.9275
"518",-90.059,29.9728
"519",-87.65,41.84
"520",-78.80003,35.583
"521",-95.2091006,29.6910625
"522",-78.9729471,35.9645647
"523",-83.13803,39.953109
"524",-70.9402,42.98375
"525",-119.22580145,34.4549057
"526",-74.02027778,40.80861111
"527",-75.957513,40.307181
"528",-97.07022501,32.75580164
"529",-95.36683117,29.75799513
"530",-96.73951,32.97717
"531",-76.67411,39.33408
"532",-87.0142,33.3486
"533",-80.10590803,26.10648988
"534",-83.0518853,42.3296139
"535",-94.3773126,38.9120932
"536",-77.1527578,39.0839973
"537",-82.9854553,39.1267349
"538",-97.037352,32.8135705
"539",-92.0672033,30.1860855
"540",-90.8529107,38.81144
"541",-83.4702132,42.3714253
"542",-96.7969879,32.7766642
"543",-86.7597,36.1725
"544",-105.213042,35.5939137
"545",-116.46017292,43.64753682
"546",-122.95,46.15
"547",-122.66228,45.578148
"548",-122.687619,45.515616
"549",-77.4656,37.5525
"550",-77.03239,38.91644
"551",-83.6513229,41.3747744
"552",-73.997657,40.753681
"553",-81.09277,32.0772199
"554",-82.9208679,39.9292924
"555",-82.5606851,35.6970547
"556",-86.0808384,41.7956038
"557",-82.786931,34.6909488
"558",-106.4344782,31.7731978
